known_synonym;fraghub_default
ac$chromatography:capillary_voltage;capillaryvoltage
ac$chromatography:column_name;columnname
ac$chromatography:column_temperature;columntemperature
ac$chromatography:flow_gradient;gradient
ac$chromatography:flow_rate;flowrate
ac$chromatography:retention_index;retentionindex
ac$chromatography:retention_time;rt
ac$chromatogrpahy:collisional_cross_section;collisionalcrosssection
ac$chromatogrpahy:column_pressure;columnpressure
ac$chromatogrpahy:drift_time;drifttime
ac$chromatogrpahy:inverse_reduced_mobility;inversereducedmobility
ac$chromatogrpahy:sample_inlet;sampleinlet
ac$chromatogrpahy:solvent;solvent
ac$instrument;instrument
ac$instrument_type;instrumenttype
ac$mass_spectrometry:charge;charge
ac$mass_spectrometry:collision_energy;collisionenergy
ac$mass_spectrometry:collsion_gas;collisiongas
ac$mass_spectrometry:date;collectiondate
ac$mass_spectrometry:desolvation_gas_flow;desolvationgas
ac$mass_spectrometry:fragmentation_mode;fragmentationmode
ac$mass_spectrometry:insource_voltage;insourcevoltage
ac$mass_spectrometry:ion_mobility_drift_gas;ionmobilitydriftgas
ac$mass_spectrometry:ion_mobility_type;ionmobilitytype
ac$mass_spectrometry:ion_mobility_voltage;ionmobilityvoltage
ac$mass_spectrometry:ion_mode;ionmode
ac$mass_spectrometry:ionization;ionization
ac$mass_spectrometry:ionization_energy;ionizationenergy
ac$mass_spectrometry:known_impurity;knownimpurity
ac$mass_spectrometry:laser;maldilaser
ac$mass_spectrometry:mass_accuracy;massaccuracy
ac$mass_spectrometry:mass_range_m/z;massrangemz
ac$mass_spectrometry:matrix;maldimatrix
ac$mass_spectrometry:ms_type;mslevel
ac$mass_spectrometry:msn_pathway;msnpathway
ac$mass_spectrometry:post_source_decay;postsourcedecay
ac$mass_spectrometry:reagent_gas;gcreagentgas
ac$mass_spectrometry:reagent_gas_pressure;reagentgaspressure
ac$mass_spectrometry:reagent_ion;reagention
ac$mass_spectrometry:reflector_mode;reflectormode
ac$mass_spectrometry:scanning;scanning
ac$mass_spectrometry:skim_1;skim1value
ac$mass_spectrometry:target_gas;targetgas
ac$mass_spectrometry:target_gas_pressure;targetgaspressure
ac$mass_spectrometry:trap_drive;trapdrivevalue
accession;spectrumid
adduct;precursortype
authors;authors
averagemass;averagemass
ch$compound_class;compoundclass
ch$exact_mass;parentmass
ch$formula;formula
ch$iupac;inchi
ch$link:cas;cas
ch$link:chebi;chebi
ch$link:chempdb;chempdb
ch$link:chemspider;chemspider
ch$link:inchikey;inchikey
ch$link:kegg;kegg
ch$link:knapsack;knapsack
